"Story","Title","Result","Date","Stability","Duration (s)"
"Script um test","Cenario cinco validacao atualizacao senha da conta","SUCCESS","2018-04-18T20:25:20.822-03:00","0.0","0.0"
"Script um test","Cenario dois validacao campos obrigatorio cadastro de bug","SUCCESS","2018-04-18T20:25:20.822-03:00","0.0","0.0"
"Script um test","Cenario quatro validar search filter","SUCCESS","2018-04-18T20:25:20.823-03:00","0.0","0.0"
"Script um test","Cenario tres validar jump pesquis","SUCCESS","2018-04-18T20:25:20.822-03:00","0.0","0.0"
"Script um test","Cenario um validacao de acesso ao mantis","SUCCESS","2018-04-18T20:25:20.823-03:00","0.0","0.0"
